,V1,V2,V3,V4,V5
0,121.22,396.94,72.1,276.0,-85.15
1,99.28,390.35,55.51,289.74,-109.04
2,97.96,386.31,57.0,284.29,-97.99
3,115.03,358.33,59.79,297.47,-75.47
4,122.23,350.99,27.77,315.23,-65.36
5,107.28,350.85,20.9,328.74,-83.27
6,119.0,370.85,12.36,292.86,-82.38
7,121.25,352.41,26.62,286.03,-63.11
8,114.96,352.75,16.57,287.53,-52.9
9,105.99,362.64,14.9,293.56,-58.97
10,116.63,358.75,15.69,286.58,-36.25
11,126.96,359.13,8.09,273.86,-41.53
12,123.88,353.33,30.57,280.81,-43.9
13,123.4,346.01,48.1,292.41,-39.69
14,117.93,334.6,50.27,296.07,-12.56
15,133.01,333.11,21.98,296.53,-18.74
16,134.97,353.88,16.48,283.2,-7.98
17,159.68,328.24,27.61,301.28,10.56
18,140.49,332.4,26.74,311.84,35.95
19,144.63,328.0,27.87,311.11,0.0
